0012, 34
0032, 7
0107, 7
0207, 27
0232, 17
0317, 30
0707, 14
0918, 24
0918, 27
0923, 17
1012, 14
1012, 4
1053, 4
1053, 20
1053, 10
1053, 14
1053, 17
1053, 24
1053, 37
1053, 44
1058, 60
1058, 57
1058, 44
1058, 67
1058, 54
1058, 37
1058, 80
1103, 20
1103, 24
1103, 30
1103, 24
1103, 34
1103, 44
1103, 37
1108, 7
1108, 14
1108, 27
1143, 10
1148, 10
1223, 24
1253, 10
1338, 17
1608, 24
1608, 7
1608, 34
1608, 10
1608, 24
1608, 30
1613, 4
1618, 4
1628, 4
1628, 20
1633, 4
1633, 20
1908, 10
1908, 14
1908, 17
1908, 24
1908, 34
1908, 20
1913, 4
1913, 7
1913, 20
1913, 30
1913, 17
1913, 24
1913, 24
1913, 44
1913, 37
1913, 54
1918, 4
1918, 7
1918, 20
1918, 30
1918, 17
1918, 24
1918, 24
1918, 44
1918, 37
1918, 54
1923, 27
1923, 30
1923, 34
1923, 34
1923, 44
1923, 37
1923, 37
1928, 27
1928, 30
1928, 34
1928, 34
1928, 44
1928, 37
1928, 37
1933, 34
1933, 37
1933, 44
1933, 37
1933, 44
1933, 64
1938, 34
1938, 30
1938, 37
1938, 34
1938, 37
1938, 64
1938, 57
1938, 60
1943, 27
1943, 10
1943, 24
1943, 14
1943, 37
1943, 24
1943, 30
1943, 34
1948, 17
1948, 4
1948, 10
1948, 7
1948, 27
1953, 10
1958, 14
2003, 17
2003, 24
2008, 10
2008, 60
2018, 67
2153, 54
2203, 7
2208, 34
2213, 4
2218, 4
2218, 20
2223, 10
2223, 34
2228, 4
2233, 24
2233, 7
2238, 17
2238, 64
2243, 4
2308, 4
2313, 44
2318, 4
2318, 14
2323, 27
2338, 17
2343, 4
2343, 10
